ParkName,Year2019,Year2020,Year2021
All Sites,86816048,66759130,89292725
Acadia NP,3437286,2669034,4069098
Arches NP,1659702,1238083,1806865
Badlands NP,970998,916932,1224226
Big Bend NP,463832,393907,581220
Biscayne NP,708522,402770,705655
Black Canyon of the Gunnison NP,432818,341620,308910
Bryce Canyon NP,2594904,1464655,2104600
Canyonlands NP,733996,493914,911594
Capitol Reef NP,1226519,981038,1405353
Carlsbad Caverns NP,440691,183835,349244
Channel Islands NP,409630,167290,319252
Congaree NP,159445,119306,215181
Crater Lake NP,704512,670500,647751
Cuyahoga Valley NP,2237997,2755628,2575275
Death Valley NP,1740945,820023,1146551
Dry Tortugas NP,79200,48543,83817
Everglades NP,1118300,702319,942130
Gateway Arch NP,2055309,486021,1145081
Glacier NP,3049839,1698864,3081656
Grand Canyon NP,5974411,2897098,4532677
Grand Teton NP,3405614,3289638,3885230
Great Basin NP,131802,120248,144875
Great Sand Dunes NP & PRES,527546,461532,602613
Great Smoky Mountains NP,12547743,12095720,14161548
Guadalupe Mountains NP,188833,151256,243291
Hot Springs NP,1467153,1348215,2162884
Indiana Dunes NP,2134285,2293106,3177210
Isle Royale NP,26410,6493,25844
Joshua Tree NP,2988547,2399542,3064400
Kings Canyon NP,632110,415077,562918
Lassen Volcanic NP,517039,542274,359635
Mammoth Cave NP,551590,290392,515774
Mesa Verde NP,556203,287477,548477
Mount Rainier NP,1501621,1160754,1670063
National Park of American Samoa,60006,4819,8495
New River Gorge NP & PRES,1195721,1054374,1682720
North Cascades NP,38208,30885,17855
Olympic NP,3245806,2499177,2718925
Petrified Forest NP,643588,384483,590334
Pinnacles NP,177224,165740,348857
Redwood NP,504722,265177,435879
Rocky Mountain NP,4670053,3305199,4434848
Saguaro NP,1020226,762226,1079786
Sequoia NP,1246053,796086,1059548
Shenandoah NP,1425507,1666265,1592312
Theodore Roosevelt NP,691658,551303,796085
Virgin Islands NP,133398,167540,323999
Voyageurs NP,232974,263091,243042
White Sands NP,608785,415383,782469
Wind Cave NP,615350,448405,709001
Yellowstone NP,4020288,3806306,4860242
Yosemite NP,4422861,2268313,3287595
Zion NP,4488268,3591254,5039835
